Source,Lever type,year,value,CPI,ExpensesGrowth
Baseline,expenditure,FY28,184467024,2.6,5
Baseline,expenditure,FY28,184906231.2,2.6,5.25
Baseline,expenditure,FY28,179196537.6,2.7,2
Baseline,expenditure,FY28,179635744.79999998,2.7,2.25
Baseline,expenditure,FY28,180074951.99999997,2.7,2.5
Baseline,expenditure,FY28,180514159.20000002,2.7,2.75
Baseline,expenditure,FY28,180953366.4,2.7,3
Baseline,expenditure,FY28,181392573.6,2.7,3.25
Baseline,expenditure,FY28,181831780.79999998,2.7,3.5
Baseline,expenditure,FY28,182270988.00000003,2.7,3.75
Baseline,expenditure,FY28,182710195.20000002,2.7,4
Baseline,expenditure,FY28,183149402.4,2.7,4.25
Baseline,expenditure,FY28,183588609.6,2.7,4.5
Baseline,expenditure,FY28,184027816.8,2.7,4.75
Baseline,expenditure,FY28,184467024,2.7,5
Baseline,expenditure,FY28,184906231.2,2.7,5.25
Baseline,expenditure,FY28,179196537.6,2.8,2
Baseline,expenditure,FY28,179635744.79999998,2.8,2.25
Baseline,expenditure,FY28,180074951.99999997,2.8,2.5
Baseline,expenditure,FY28,180514159.20000002,2.8,2.75
Baseline,expenditure,FY28,180953366.4,2.8,3
Baseline,expenditure,FY28,181392573.6,2.8,3.25
Baseline,expenditure,FY28,181831780.79999998,2.8,3.5
Baseline,expenditure,FY28,182270988.00000003,2.8,3.75
Baseline,expenditure,FY28,182710195.20000002,2.8,4
Baseline,expenditure,FY28,183149402.4,2.8,4.25
Baseline,expenditure,FY28,183588609.6,2.8,4.5
Baseline,expenditure,FY28,184027816.8,2.8,4.75
Baseline,expenditure,FY28,184467024,2.8,5
Baseline,expenditure,FY28,184906231.2,2.8,5.25
Baseline,expenditure,FY28,179196537.6,2.9,2
Baseline,expenditure,FY28,179635744.79999998,2.9,2.25
Baseline,expenditure,FY28,180074951.99999997,2.9,2.5
Baseline,expenditure,FY28,180514159.20000002,2.9,2.75
Baseline,expenditure,FY28,180953366.4,2.9,3
Baseline,expenditure,FY28,181392573.6,2.9,3.25
Baseline,expenditure,FY28,181831780.79999998,2.9,3.5
Baseline,expenditure,FY28,182270988.00000003,2.9,3.75
Baseline,expenditure,FY28,182710195.20000002,2.9,4
Baseline,expenditure,FY28,183149402.4,2.9,4.25
Baseline,expenditure,FY28,183588609.6,2.9,4.5
Baseline,expenditure,FY28,184027816.8,2.9,4.75
Baseline,expenditure,FY28,184467024,2.9,5
Baseline,expenditure,FY28,184906231.2,2.9,5.25
Baseline,expenditure,FY28,179196537.6,3,2
Baseline,expenditure,FY28,179635744.79999998,3,2.25
Baseline,expenditure,FY28,180074951.99999997,3,2.5
Baseline,expenditure,FY28,180514159.20000002,3,2.75
Baseline,expenditure,FY28,180953366.4,3,3
Baseline,expenditure,FY28,181392573.6,3,3.25
Baseline,expenditure,FY28,181831780.79999998,3,3.5
Baseline,expenditure,FY28,182270988.00000003,3,3.75
Baseline,expenditure,FY28,182710195.20000002,3,4
Baseline,expenditure,FY28,183149402.4,3,4.25
Baseline,expenditure,FY28,183588609.6,3,4.5
Baseline,expenditure,FY28,184027816.8,3,4.75
Baseline,expenditure,FY28,184467024,3,5
Baseline,expenditure,FY28,184906231.2,3,5.25
Baseline,expenditure,FY29,182780468.352,2,2
Baseline,expenditure,FY29,183677549.05799997,2,2.25
Baseline,expenditure,FY29,184576825.79999995,2,2.5
Baseline,expenditure,FY29,185478298.57800004,2,2.75
Baseline,expenditure,FY29,186381967.39200002,2,3
Baseline,expenditure,FY29,187287832.24199998,2,3.25
Baseline,expenditure,FY29,188195893.12799996,2,3.5
Baseline,expenditure,FY29,189106150.05000004,2,3.75
Baseline,expenditure,FY29,190018603.00800002,2,4
Baseline,expenditure,FY29,190933252.002,2,4.25
Baseline,expenditure,FY29,191850097.03199998,2,4.5
Baseline,expenditure,FY29,192769138.09800002,2,4.75
Baseline,expenditure,FY29,193690375.20000002,2,5
Baseline,expenditure,FY29,194613808.338,2,5.25
Baseline,expenditure,FY29,182780468.352,2.1,2
Baseline,expenditure,FY29,183677549.05799997,2.1,2.25
Baseline,expenditure,FY29,184576825.79999995,2.1,2.5
Baseline,expenditure,FY29,185478298.57800004,2.1,2.75
Baseline,expenditure,FY29,186381967.39200002,2.1,3
Baseline,expenditure,FY29,187287832.24199998,2.1,3.25
Baseline,expenditure,FY29,188195893.12799996,2.1,3.5
Baseline,expenditure,FY29,189106150.05000004,2.1,3.75
Baseline,expenditure,FY29,190018603.00800002,2.1,4
Baseline,expenditure,FY29,190933252.002,2.1,4.25
Baseline,expenditure,FY29,191850097.03199998,2.1,4.5
Baseline,expenditure,FY29,192769138.09800002,2.1,4.75
Baseline,expenditure,FY29,193690375.20000002,2.1,5
Baseline,expenditure,FY29,194613808.338,2.1,5.25
Baseline,expenditure,FY29,182780468.352,2.2,2
Baseline,expenditure,FY29,183677549.05799997,2.2,2.25
Baseline,expenditure,FY29,184576825.79999995,2.2,2.5
Baseline,expenditure,FY29,185478298.57800004,2.2,2.75
Baseline,expenditure,FY29,186381967.39200002,2.2,3
Baseline,expenditure,FY29,187287832.24199998,2.2,3.25
Baseline,expenditure,FY29,188195893.12799996,2.2,3.5
Baseline,expenditure,FY29,189106150.05000004,2.2,3.75
Baseline,expenditure,FY29,190018603.00800002,2.2,4
Baseline,expenditure,FY29,190933252.002,2.2,4.25
Baseline,expenditure,FY29,191850097.03199998,2.2,4.5
Baseline,expenditure,FY29,192769138.09800002,2.2,4.75
Baseline,expenditure,FY29,193690375.20000002,2.2,5
Baseline,expenditure,FY29,194613808.338,2.2,5.25
Baseline,expenditure,FY29,182780468.352,2.3,2
Baseline,expenditure,FY29,183677549.05799997,2.3,2.25
Baseline,expenditure,FY29,184576825.79999995,2.3,2.5
Baseline,expenditure,FY29,185478298.57800004,2.3,2.75
Baseline,expenditure,FY29,186381967.39200002,2.3,3
Baseline,expenditure,FY29,187287832.24199998,2.3,3.25
Baseline,expenditure,FY29,188195893.12799996,2.3,3.5
Baseline,expenditure,FY29,189106150.05000004,2.3,3.75
Baseline,expenditure,FY29,190018603.00800002,2.3,4
Baseline,expenditure,FY29,190933252.002,2.3,4.25
Baseline,expenditure,FY29,191850097.03199998,2.3,4.5
Baseline,expenditure,FY29,192769138.09800002,2.3,4.75
Baseline,expenditure,FY29,193690375.20000002,2.3,5
Baseline,expenditure,FY29,194613808.338,2.3,5.25
Baseline,expenditure,FY29,182780468.352,2.4,2
Baseline,expenditure,FY29,183677549.05799997,2.4,2.25
Baseline,expenditure,FY29,184576825.79999995,2.4,2.5
Baseline,expenditure,FY29,185478298.57800004,2.4,2.75
Baseline,expenditure,FY29,186381967.39200002,2.4,3
Baseline,expenditure,FY29,187287832.24199998,2.4,3.25
Baseline,expenditure,FY29,188195893.12799996,2.4,3.5
Baseline,expenditure,FY29,189106150.05000004,2.4,3.75
Baseline,expenditure,FY29,190018603.00800002,2.4,4
Baseline,expenditure,FY29,190933252.002,2.4,4.25
Baseline,expenditure,FY29,191850097.03199998,2.4,4.5
Baseline,expenditure,FY29,192769138.09800002,2.4,4.75
Baseline,expenditure,FY29,193690375.20000002,2.4,5
Baseline,expenditure,FY29,194613808.338,2.4,5.25
Baseline,expenditure,FY29,182780468.352,2.5,2
Baseline,expenditure,FY29,183677549.05799997,2.5,2.25
Baseline,expenditure,FY29,184576825.79999995,2.5,2.5
Baseline,expenditure,FY29,185478298.57800004,2.5,2.75
Baseline,expenditure,FY29,186381967.39200002,2.5,3
Baseline,expenditure,FY29,187287832.24199998,2.5,3.25
Baseline,expenditure,FY29,188195893.12799996,2.5,3.5
Baseline,expenditure,FY29,189106150.05000004,2.5,3.75
Baseline,expenditure,FY29,190018603.00800002,2.5,4
Baseline,expenditure,FY29,190933252.002,2.5,4.25
Baseline,expenditure,FY29,191850097.03199998,2.5,4.5
Baseline,expenditure,FY29,192769138.09800002,2.5,4.75
Baseline,expenditure,FY29,193690375.20000002,2.5,5
Baseline,expenditure,FY29,194613808.338,2.5,5.25
Baseline,expenditure,FY29,182780468.352,2.6,2
Baseline,expenditure,FY29,183677549.05799997,2.6,2.25
Baseline,expenditure,FY29,184576825.79999995,2.6,2.5
Baseline,expenditure,FY29,185478298.57800004,2.6,2.75
Baseline,expenditure,FY29,186381967.39200002,2.6,3
Baseline,expenditure,FY29,187287832.24199998,2.6,3.25
Baseline,expenditure,FY29,188195893.12799996,2.6,3.5
Baseline,expenditure,FY29,189106150.05000004,2.6,3.75
Baseline,expenditure,FY29,190018603.00800002,2.6,4
Baseline,expenditure,FY29,190933252.002,2.6,4.25
Baseline,expenditure,FY29,191850097.03199998,2.6,4.5
Baseline,expenditure,FY29,192769138.09800002,2.6,4.75
Baseline,expenditure,FY29,193690375.20000002,2.6,5
Baseline,expenditure,FY29,194613808.338,2.6,5.25
Baseline,expenditure,FY29,182780468.352,2.7,2
Baseline,expenditure,FY29,183677549.05799997,2.7,2.25
Baseline,expenditure,FY29,184576825.79999995,2.7,2.5
Baseline,expenditure,FY29,185478298.57800004,2.7,2.75
Baseline,expenditure,FY29,186381967.39200002,2.7,3
Baseline,expenditure,FY29,187287832.24199998,2.7,3.25
Baseline,expenditure,FY29,188195893.12799996,2.7,3.5
Baseline,expenditure,FY29,189106150.05000004,2.7,3.75
Baseline,expenditure,FY29,190018603.00800002,2.7,4
Baseline,expenditure,FY29,190933252.002,2.7,4.25
Baseline,expenditure,FY29,191850097.03199998,2.7,4.5
Baseline,expenditure,FY29,192769138.09800002,2.7,4.75
Baseline,expenditure,FY29,193690375.20000002,2.7,5
Baseline,expenditure,FY29,194613808.338,2.7,5.25
Baseline,expenditure,FY29,182780468.352,2.8,2
Baseline,expenditure,FY29,183677549.05799997,2.8,2.25
Baseline,expenditure,FY29,184576825.79999995,2.8,2.5
Baseline,expenditure,FY29,185478298.57800004,2.8,2.75
Baseline,expenditure,FY29,186381967.39200002,2.8,3
Baseline,expenditure,FY29,187287832.24199998,2.8,3.25
Baseline,expenditure,FY29,188195893.12799996,2.8,3.5
Baseline,expenditure,FY29,189106150.05000004,2.8,3.75
Baseline,expenditure,FY29,190018603.00800002,2.8,4
Baseline,expenditure,FY29,190933252.002,2.8,4.25
Baseline,expenditure,FY29,191850097.03199998,2.8,4.5
Baseline,expenditure,FY29,192769138.09800002,2.8,4.75
Baseline,expenditure,FY29,193690375.20000002,2.8,5
Baseline,expenditure,FY29,194613808.338,2.8,5.25
Baseline,expenditure,FY29,182780468.352,2.9,2
Baseline,expenditure,FY29,183677549.05799997,2.9,2.25
Baseline,expenditure,FY29,184576825.79999995,2.9,2.5
Baseline,expenditure,FY29,185478298.57800004,2.9,2.75
Baseline,expenditure,FY29,186381967.39200002,2.9,3
Baseline,expenditure,FY29,187287832.24199998,2.9,3.25
Baseline,expenditure,FY29,188195893.12799996,2.9,3.5
Baseline,expenditure,FY29,189106150.05000004,2.9,3.75
Baseline,expenditure,FY29,190018603.00800002,2.9,4
Baseline,expenditure,FY29,190933252.002,2.9,4.25
Baseline,expenditure,FY29,191850097.03199998,2.9,4.5
Baseline,expenditure,FY29,192769138.09800002,2.9,4.75
Baseline,expenditure,FY29,193690375.20000002,2.9,5
Baseline,expenditure,FY29,194613808.338,2.9,5.25
Baseline,expenditure,FY29,182780468.352,3,2
Baseline,expenditure,FY29,183677549.05799997,3,2.25
