Source,Lever type,year,value,CPI,ExpensesGrowth
Baseline,expenditure,FY27,180074951.99999997,2.2,2.5
Baseline,expenditure,FY27,180514159.20000002,2.2,2.75
Baseline,expenditure,FY27,180953366.4,2.2,3
Baseline,expenditure,FY27,181392573.6,2.2,3.25
Baseline,expenditure,FY27,181831780.79999998,2.2,3.5
Baseline,expenditure,FY27,182270988.00000003,2.2,3.75
Baseline,expenditure,FY27,182710195.20000002,2.2,4
Baseline,expenditure,FY27,183149402.4,2.2,4.25
Baseline,expenditure,FY27,183588609.6,2.2,4.5
Baseline,expenditure,FY27,184027816.8,2.2,4.75
Baseline,expenditure,FY27,184467024,2.2,5
Baseline,expenditure,FY27,184906231.2,2.2,5.25
Baseline,expenditure,FY27,179196537.6,2.3,2
Baseline,expenditure,FY27,179635744.79999998,2.3,2.25
Baseline,expenditure,FY27,180074951.99999997,2.3,2.5
Baseline,expenditure,FY27,180514159.20000002,2.3,2.75
Baseline,expenditure,FY27,180953366.4,2.3,3
Baseline,expenditure,FY27,181392573.6,2.3,3.25
Baseline,expenditure,FY27,181831780.79999998,2.3,3.5
Baseline,expenditure,FY27,182270988.00000003,2.3,3.75
Baseline,expenditure,FY27,182710195.20000002,2.3,4
Baseline,expenditure,FY27,183149402.4,2.3,4.25
Baseline,expenditure,FY27,183588609.6,2.3,4.5
Baseline,expenditure,FY27,184027816.8,2.3,4.75
Baseline,expenditure,FY27,184467024,2.3,5
Baseline,expenditure,FY27,184906231.2,2.3,5.25
Baseline,expenditure,FY27,179196537.6,2.4,2
Baseline,expenditure,FY27,179635744.79999998,2.4,2.25
Baseline,expenditure,FY27,180074951.99999997,2.4,2.5
Baseline,expenditure,FY27,180514159.20000002,2.4,2.75
Baseline,expenditure,FY27,180953366.4,2.4,3
Baseline,expenditure,FY27,181392573.6,2.4,3.25
Baseline,expenditure,FY27,181831780.79999998,2.4,3.5
Baseline,expenditure,FY27,182270988.00000003,2.4,3.75
Baseline,expenditure,FY27,182710195.20000002,2.4,4
Baseline,expenditure,FY27,183149402.4,2.4,4.25
Baseline,expenditure,FY27,183588609.6,2.4,4.5
Baseline,expenditure,FY27,184027816.8,2.4,4.75
Baseline,expenditure,FY27,184467024,2.4,5
Baseline,expenditure,FY27,184906231.2,2.4,5.25
Baseline,expenditure,FY27,179196537.6,2.5,2
Baseline,expenditure,FY27,179635744.79999998,2.5,2.25
Baseline,expenditure,FY27,180074951.99999997,2.5,2.5
Baseline,expenditure,FY27,180514159.20000002,2.5,2.75
Baseline,expenditure,FY27,180953366.4,2.5,3
